date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,month,season,renovated,basement
2014-12-01,280000,2,1.5,1190,1265,3.0,0,0,3,7,1190,0,2005,0.0,98133,47.7274,-122.35700000000001,1390,1756,12,winter,0,0
2014-06-24,687500,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0.0,98117,47.6823,-122.368,1460,5000,6,summer,0,1
2014-11-10,535000,3,1.0,1090,3000,1.5,0,0,4,8,1090,0,1929,0.0,98117,47.6889,-122.375,1570,5080,11,fall,0,0
2014-12-03,322500,4,2.75,2060,6659,1.0,0,0,3,7,1280,780,1981,0.0,98058,47.4276,-122.15700000000001,2020,8720,12,winter,0,1
2014-06-13,696000,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002.0,98115,47.6827,-122.31,1590,3264,6,summer,1,1
2014-05-28,550000,4,1.0,1660,34848,1.0,0,0,1,5,930,730,1933,0.0,98052,47.6621,-122.132,2160,11467,5,spring,0,1
2014-12-30,640000,4,2.0,2360,6000,2.0,0,0,4,8,2360,0,1904,0.0,98107,47.6702,-122.36200000000001,1730,4700,12,winter,0,0
2015-02-13,240000,4,1.0,1220,8075,1.0,0,0,2,7,890,330,1969,0.0,98001,47.3341,-122.28200000000001,1290,7800,2,winter,0,1
2014-06-20,605000,4,2.5,2620,7553,2.0,0,0,3,8,2620,0,1996,0.0,98056,47.5301,-122.18,2620,11884,6,summer,0,0
2014-08-11,775000,4,2.25,4220,24186,1.0,0,0,3,8,2600,1620,1984,0.0,98166,47.445,-122.34700000000001,2410,30617,8,summer,0,1
2014-07-07,861990,5,2.75,3595,5639,2.0,0,0,3,9,3595,0,2014,0.0,98053,47.6848,-122.016,3625,5639,7,summer,0,0
2014-10-28,685000,3,1.0,1570,2280,2.0,0,0,3,7,1570,0,1922,0.0,98119,47.6413,-122.36399999999999,1580,2640,10,fall,0,0
2014-07-29,309000,3,1.0,1280,9656,1.0,0,0,4,6,920,360,1959,0.0,98058,47.4485,-122.175,1340,8808,7,summer,0,1
2015-03-25,210490,3,1.0,990,8528,1.0,0,0,3,6,990,0,1966,0.0,98023,47.3066,-122.37100000000001,1228,8840,3,spring,0,0
2014-07-16,785000,4,2.5,2290,13416,2.0,0,0,4,9,2290,0,1981,0.0,98007,47.6194,-122.15100000000001,2680,13685,7,summer,0,0
2015-04-28,450000,3,1.75,1250,5963,1.0,0,0,4,7,1250,0,1953,0.0,98115,47.6796,-122.301,970,5100,4,spring,0,0
2015-03-11,1350000,3,2.5,2753,65005,1.0,1,2,5,9,2165,588,1953,0.0,98070,47.4041,-122.45100000000001,2680,72513,3,spring,0,1
2014-09-16,228000,3,1.0,1190,9199,1.0,0,0,3,7,1190,0,1955,0.0,98148,47.4258,-122.322,1190,9364,9,fall,0,0
2015-02-17,345000,5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,1966,0.0,98056,47.4934,-122.189,1990,9133,2,winter,0,1
2015-02-05,585000,2,1.75,1980,8550,1.0,0,0,3,7,990,990,1981,0.0,98117,47.6989,-122.369,1480,6738,2,winter,0,1
2015-03-03,920000,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,0.0,98105,47.6571,-122.281,2730,6000,3,spring,0,1
2015-04-07,301000,3,2.5,2420,4750,2.0,0,0,3,8,2420,0,2003,0.0,98042,47.3663,-122.12200000000001,2690,4750,4,spring,0,0
2015-02-23,430000,4,3.0,1850,9976,2.0,0,0,3,8,1850,0,1991,0.0,98059,47.5059,-122.149,2270,8542,2,winter,0,0
2014-08-28,289000,3,1.75,1260,8400,1.0,0,0,3,7,1260,0,1954,0.0,98148,47.4366,-122.335,1290,8750,8,summer,0,0
2014-12-07,549000,3,1.75,1540,1044,3.0,0,0,3,8,1540,0,2014,0.0,98115,47.6765,-122.32,1580,3090,12,winter,0,0
2014-06-03,425000,3,2.25,1660,6000,1.0,0,0,3,7,1110,550,1979,0.0,98122,47.6113,-122.29700000000001,1440,4080,6,summer,0,1
2014-11-20,317625,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,0.0,98144,47.5747,-122.304,1440,4000,11,fall,0,1
2014-10-09,287000,4,2.5,2240,4648,2.0,0,0,3,7,2240,0,2005,0.0,98001,47.3378,-122.257,2221,4557,10,fall,0,0
2014-06-12,1330000,5,2.25,3200,20158,1.0,0,0,3,8,1600,1600,1965,0.0,98004,47.6303,-122.215,3390,20158,6,summer,0,1
2014-09-12,1040000,5,3.25,4770,50094,1.0,0,0,4,11,3070,1700,1973,0.0,98005,47.6525,-122.16,3530,38917,9,fall,0,1
2015-01-05,325000,3,2.0,1260,5612,1.0,0,0,4,7,1260,0,1972,0.0,98034,47.7362,-122.179,1640,4745,1,winter,0,0
2014-06-10,571000,4,2.0,2750,7807,1.5,0,0,5,7,2250,500,1916,0.0,98125,47.7168,-122.287,1510,7807,6,summer,0,1
2015-03-16,349000,3,1.75,1790,50529,1.0,0,0,5,7,1090,700,1965,0.0,98042,47.3511,-122.073,1940,50529,3,spring,0,1
2014-11-05,832500,4,4.0,3430,35102,2.0,0,0,4,10,2390,1040,1986,0.0,98075,47.5822,-121.98700000000001,3240,35020,11,fall,0,1
2014-06-09,410000,3,1.0,1410,5060,1.0,0,0,4,7,910,500,1956,0.0,98133,47.7073,-122.34,1130,5693,6,summer,0,1
2015-03-23,720000,4,2.5,3450,39683,2.0,0,0,3,10,3450,0,2002,0.0,98010,47.342,-122.025,3350,39750,3,spring,0,0
2014-12-02,390000,3,2.5,2350,5100,2.0,0,0,3,8,2350,0,2003,0.0,98038,47.3512,-122.008,2350,5363,12,winter,0,0
2014-12-22,360000,4,2.5,1900,5889,2.0,0,0,3,7,1900,0,1992,0.0,98038,47.349,-122.031,1870,6405,12,winter,0,0
2014-10-28,355000,2,1.0,2020,6720,1.0,0,0,3,7,1010,1010,1948,0.0,98118,47.5474,-122.291,1720,6720,10,fall,0,1
2015-01-28,356000,3,1.5,1680,8712,1.0,0,0,3,8,1680,0,1964,0.0,98059,47.4811,-122.149,1850,8797,1,winter,0,0
2014-06-02,315000,3,1.0,960,6634,1.0,0,0,3,6,960,0,1952,0.0,98125,47.7264,-122.31,1570,7203,6,summer,0,0
2014-11-14,940000,3,1.5,2140,3600,2.0,0,0,3,9,1900,240,1925,0.0,98119,47.6337,-122.365,2020,4800,11,fall,0,1
2014-11-03,305000,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,0.0,98092,47.2909,-122.189,1590,8165,11,fall,0,0
2014-05-22,243500,4,2.5,1980,7403,2.0,0,0,3,7,1980,0,1988,0.0,98023,47.2897,-122.37200000000001,1980,7510,5,spring,0,0
2015-03-11,1100000,5,2.75,3520,6353,2.0,0,0,4,10,3520,0,2001,0.0,98199,47.6506,-122.391,2520,6250,3,spring,0,0
2015-02-26,153000,3,1.0,1200,10500,1.0,0,0,3,7,1200,0,1962,0.0,98023,47.321999999999996,-122.351,1350,10500,2,winter,0,0
2014-07-25,430000,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,0.0,98117,47.687,-122.38600000000001,1570,4500,7,summer,0,1
2014-12-23,700000,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,0.0,98117,47.687,-122.38600000000001,1570,4500,12,winter,0,1
2014-09-08,905000,4,2.5,3300,10250,1.0,0,0,3,7,2390,910,1946,1991.0,98040,47.5873,-122.249,1950,6045,9,fall,1,1
2015-03-30,247500,3,1.75,1960,15681,1.0,0,0,3,7,1960,0,1967,0.0,98032,47.3576,-122.277,1750,15616,3,spring,0,0
2014-09-12,199000,4,1.5,1160,6400,1.0,0,0,4,7,1160,0,1975,0.0,98023,47.3036,-122.37799999999999,1160,6400,9,fall,0,0
2014-07-11,314000,3,1.75,1810,41800,1.0,0,0,5,7,1210,600,1980,0.0,98038,47.4109,-121.958,1650,135036,7,summer,0,1
2014-05-16,437500,3,2.5,2320,36847,2.0,0,2,3,9,2320,0,1992,0.0,98045,47.4838,-121.714,2550,35065,5,spring,0,0
2014-06-11,850830,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,1910,0.0,98102,47.6415,-122.315,2200,4500,6,summer,0,1
2014-10-27,555000,3,2.0,1980,3478,1.5,0,0,4,7,1440,540,1929,0.0,98117,47.6775,-122.37200000000001,1610,3478,10,fall,0,1
2014-12-12,699950,3,2.25,2190,107593,2.0,0,0,4,8,2190,0,1983,0.0,98077,47.7731,-122.08,2570,47777,12,winter,0,0
2014-10-07,1090000,3,2.5,2920,8113,2.0,0,0,3,8,2920,0,1950,2010.0,98004,47.5814,-122.196,2370,8113,10,fall,1,0
2014-09-24,290000,3,1.0,1210,33919,1.0,0,0,3,7,1210,0,1954,0.0,98058,47.4375,-122.184,1640,14910,9,fall,0,0
2014-05-23,460000,3,1.0,1670,4005,1.5,0,0,4,7,1170,500,1939,0.0,98117,47.6878,-122.38,1240,4005,5,spring,0,1
2014-07-23,188500,2,1.75,1240,2493,1.0,0,0,4,8,1240,0,1985,0.0,98198,47.3813,-122.322,1270,4966,7,summer,0,0
2015-03-05,680000,4,2.5,3140,28037,2.0,0,0,4,10,3140,0,1991,0.0,98077,47.7304,-122.08200000000001,2990,35001,3,spring,0,0
2014-08-27,470000,5,1.75,2030,12342,2.0,0,0,4,7,2030,0,1942,0.0,98052,47.6417,-122.109,2500,9433,8,summer,0,0
2015-03-04,570000,3,1.75,1260,3328,1.0,0,0,5,6,700,560,1905,0.0,98103,47.6823,-122.34899999999999,1380,3536,3,spring,0,1
2014-09-16,272500,3,1.75,1540,12600,1.0,0,0,4,7,1160,0,1980,0.0,98038,47.3624,-122.031,1540,11656,9,fall,0,0
2014-11-24,329950,3,1.75,2080,5969,1.0,0,2,3,7,1080,1000,1971,0.0,98108,47.5474,-122.295,2090,5500,11,fall,0,1
2014-06-26,518500,3,3.5,1590,1102,3.0,0,0,3,8,1590,0,2010,0.0,98103,47.6824,-122.34700000000001,1620,3166,6,summer,0,0
2014-06-23,205425,2,1.0,880,6780,1.0,0,0,4,6,880,0,1945,0.0,98178,47.5009,-122.24799999999999,1190,6780,6,summer,0,0
2015-05-11,535000,4,1.0,1610,2982,1.5,0,0,4,7,1610,0,1925,0.0,98144,47.586999999999996,-122.294,1610,4040,5,spring,0,0
2015-01-02,660000,3,2.5,2400,6474,1.0,0,2,3,8,1560,840,1964,0.0,98177,47.7728,-122.38600000000001,2340,10856,1,winter,0,1
2015-04-06,395000,2,1.0,770,6000,1.0,0,0,3,6,770,0,1953,0.0,98117,47.6999,-122.36399999999999,1710,6000,4,spring,0,0
2014-06-18,770000,3,2.25,2910,10204,2.0,0,0,3,9,2910,0,1990,0.0,98052,47.6897,-122.098,2700,13992,6,summer,0,0
2015-03-02,1450000,4,2.75,2750,17789,1.5,0,0,3,8,1980,770,1914,1992.0,98004,47.6141,-122.212,3060,11275,3,spring,1,1
2015-01-05,212000,3,1.75,1060,7875,1.0,0,0,4,7,1060,0,1986,0.0,98092,47.2761,-122.152,1420,7680,1,winter,0,0
2015-04-28,660500,4,2.25,2010,9603,1.0,0,0,3,8,1440,570,1986,0.0,98027,47.5343,-122.054,2060,9793,4,spring,0,1
2014-06-12,784000,3,3.5,3950,111078,1.5,0,0,3,9,2460,1490,1989,0.0,98052,47.696999999999996,-122.072,2480,88500,6,summer,0,1
2014-05-12,453246,3,2.5,2010,2287,2.0,0,0,3,8,1390,620,2014,0.0,98029,47.5517,-121.99799999999999,1690,1662,5,spring,0,1
2015-01-26,675000,4,3.5,2140,2278,3.0,0,0,3,9,2140,0,2005,0.0,98107,47.6734,-122.38,1540,2285,1,winter,0,0
2014-08-05,220000,4,1.75,2020,7840,1.0,0,0,3,7,1010,1010,1968,0.0,98003,47.3309,-122.29899999999999,1750,8140,8,summer,0,1
2014-07-07,382500,2,1.0,1190,4440,1.0,0,0,3,6,1190,0,1981,0.0,98125,47.7135,-122.287,1060,5715,7,summer,0,0
2014-06-27,665000,2,1.0,1110,3200,1.0,0,0,3,7,1110,0,1925,0.0,98119,47.6338,-122.35799999999999,1170,3600,6,summer,0,0
2015-05-08,205000,3,1.0,1610,8579,1.0,0,0,4,7,1010,600,1962,0.0,98058,47.4563,-122.171,1610,8579,5,spring,0,1
2015-02-27,500000,4,2.25,2030,8517,1.0,0,0,4,8,1380,650,1961,0.0,98006,47.5495,-122.17399999999999,2230,8824,2,winter,0,1
2014-12-03,921500,4,2.5,3670,315374,2.0,0,0,4,9,3670,0,1994,0.0,98077,47.7421,-122.02600000000001,2840,87991,12,winter,0,0
2014-06-25,890000,4,1.0,2550,4000,2.0,0,0,3,8,2370,180,1905,0.0,98109,47.6354,-122.353,2200,4000,6,summer,0,1
2014-08-06,430000,2,2.5,2420,60984,2.0,0,0,3,7,2420,0,2007,0.0,98027,47.5262,-121.943,1940,193842,8,summer,0,0
2014-10-30,258000,5,2.0,2260,12500,1.0,0,0,4,8,1130,1130,1960,0.0,98032,47.3887,-122.286,1360,18000,10,fall,0,1
2014-11-04,511000,3,1.0,1430,3455,1.0,0,0,3,7,980,450,1947,0.0,98103,47.6873,-122.336,1450,4599,11,fall,0,1
2014-08-20,532170,3,2.0,1360,3090,2.0,0,0,3,8,1360,0,1990,0.0,98103,47.6838,-122.353,1500,3090,8,summer,0,0
2015-04-09,560000,3,1.0,1110,5000,1.5,0,0,3,7,1110,0,1947,0.0,98107,47.655,-122.359,1420,5000,4,spring,0,0
2015-04-01,2250000,4,3.25,5180,19850,2.0,0,3,3,12,3540,1640,2006,0.0,98006,47.562,-122.162,3160,9750,4,spring,0,1
2014-05-16,350000,1,1.0,700,5100,1.0,0,0,3,7,700,0,1942,0.0,98115,47.678999999999995,-122.3,1010,5100,5,spring,0,0
2014-07-28,215000,3,1.0,1180,7669,1.0,0,0,4,7,1180,0,1967,0.0,98058,47.4479,-122.176,1190,7669,7,summer,0,0
2014-11-20,650000,5,3.5,3960,25245,2.0,0,0,3,9,2500,1460,1996,0.0,98056,47.525,-122.17200000000001,2640,13675,11,fall,0,1
2014-08-07,320000,4,2.75,2640,7500,1.0,0,0,3,8,1620,1020,1967,0.0,98023,47.3135,-122.369,1980,7875,8,summer,0,1
2014-11-13,247000,3,2.0,1270,7198,1.5,0,0,3,7,1270,0,1916,2013.0,98022,47.2086,-121.99600000000001,1160,7198,11,fall,1,0
2014-10-03,320000,4,1.75,1760,11180,1.0,0,0,4,8,1760,0,1968,0.0,98059,47.4715,-122.118,1730,11180,10,fall,0,0
2014-05-07,255000,5,2.25,2060,8632,1.0,0,0,3,7,1030,1030,1962,0.0,98146,47.4877,-122.335,1010,11680,5,spring,0,1
2015-03-09,438000,3,1.75,1780,9660,1.0,0,0,3,7,1780,0,1962,0.0,98034,47.7171,-122.193,1200,9660,3,spring,0,0
2015-03-04,900000,3,2.5,3400,16603,2.0,0,0,3,10,3400,0,2000,0.0,98075,47.6012,-122.023,3400,12601,3,spring,0,0
2014-06-20,441000,3,2.75,1910,7280,1.0,0,0,3,7,1160,750,1979,0.0,98034,47.7319,-122.22399999999999,1710,8152,6,summer,0,1
2014-08-12,420000,3,2.0,2020,38332,1.0,0,0,4,7,1010,1010,1975,0.0,98027,47.4582,-122.023,2110,36590,8,summer,0,1
2014-12-08,370000,3,1.75,1580,7000,1.0,0,0,3,7,1180,400,1976,0.0,98034,47.7209,-122.16799999999999,1640,7500,12,winter,0,1
2015-02-19,269950,2,1.75,1340,7250,1.0,0,0,5,5,700,640,1949,0.0,98198,47.408,-122.32700000000001,1830,9750,2,winter,0,1
2015-03-24,807100,4,2.5,2680,4499,2.0,0,0,3,9,2680,0,1999,0.0,98006,47.565,-122.125,2920,4500,3,spring,0,0
2014-06-05,653000,3,2.5,2680,9750,1.0,0,0,4,8,1610,1070,1979,0.0,98034,47.7028,-122.23100000000001,2480,8750,6,summer,0,1
2015-03-16,284000,3,1.75,1560,21000,1.0,0,0,3,7,1560,0,1954,0.0,98166,47.4776,-122.337,1070,7920,3,spring,0,0
2015-01-16,917500,4,2.5,3880,35003,2.0,0,0,3,10,2570,1310,1984,0.0,98033,47.6477,-122.182,3740,35230,1,winter,0,1
2014-09-29,673000,4,2.25,2590,8190,2.0,0,0,4,8,2590,0,1980,0.0,98006,47.5619,-122.125,2260,8335,9,fall,0,0
2015-02-10,425000,3,2.5,1120,1100,2.0,0,0,3,8,820,300,2008,0.0,98122,47.6106,-122.31,1590,1795,2,winter,0,1
2014-07-09,399950,5,2.75,1970,5400,1.0,0,0,3,7,1320,650,1986,0.0,98144,47.5868,-122.30799999999999,1280,2150,7,summer,0,1
2014-11-17,269950,3,1.5,1950,7560,1.0,0,2,4,7,1320,630,1975,0.0,98022,47.1976,-121.999,1950,8941,11,fall,0,1
2014-07-25,260000,3,2.5,1670,5797,2.0,0,0,3,7,1670,0,1988,0.0,98030,47.3505,-122.179,1670,6183,7,summer,0,0
2015-04-14,470000,4,3.0,2380,5125,1.5,0,0,4,7,1680,700,1925,0.0,98126,47.5384,-122.376,1410,5375,4,spring,0,1
2014-07-23,163500,2,1.5,1050,3419,2.0,0,0,3,7,1050,0,1996,0.0,98038,47.3848,-122.039,1050,3417,7,summer,0,0
2014-09-05,835000,4,2.75,3130,13412,2.0,0,0,3,9,2140,990,1993,0.0,98052,47.6993,-122.102,2260,9984,9,fall,0,1
2014-11-21,1100000,5,3.0,4090,12850,1.0,0,2,4,10,2090,2000,1986,0.0,98033,47.6627,-122.18799999999999,2540,10270,11,fall,0,1
2015-04-15,269000,4,1.75,1490,10000,1.0,0,0,4,8,1100,390,1969,0.0,98023,47.3099,-122.37899999999999,2190,8910,4,spring,0,1
2014-12-05,585188,3,2.25,2230,10026,1.0,0,0,3,8,1430,800,1975,0.0,98052,47.6647,-122.15299999999999,2230,9340,12,winter,0,1
2014-11-05,166950,3,1.0,1190,8820,1.0,0,0,3,6,1190,0,1959,0.0,98058,47.4616,-122.184,1230,7980,11,fall,0,0
2014-09-12,799000,3,2.5,2140,9897,1.0,0,0,4,8,2140,0,1959,0.0,98040,47.5505,-122.219,2680,10083,9,fall,0,0
2014-06-25,400000,3,2.5,2180,7508,1.0,0,0,4,7,1420,760,1962,0.0,98133,47.7606,-122.336,1900,7818,6,summer,0,1
2014-12-01,230000,3,1.0,1060,10228,1.0,0,0,3,7,1060,0,1948,0.0,98155,47.7481,-122.3,1570,10228,12,winter,0,0
2014-05-15,256883,3,2.5,1690,5025,2.0,0,0,3,8,1690,0,2003,0.0,98023,47.2779,-122.34700000000001,2550,5001,5,spring,0,0
2014-11-11,423000,4,2.0,1970,6480,1.5,0,0,5,7,1130,840,1920,0.0,98108,47.5511,-122.31200000000001,1500,6480,11,fall,0,1
2015-01-13,440000,3,2.5,1910,66211,2.0,0,0,3,7,1910,0,1997,0.0,98024,47.5385,-121.911,2330,67268,1,winter,0,0
2014-10-14,385000,3,1.75,1350,155073,1.0,0,0,4,7,1350,0,1969,0.0,98038,47.4058,-121.994,1560,50965,10,fall,0,0
2014-11-12,297000,3,2.5,1940,14952,2.0,0,0,3,8,1940,0,1994,0.0,98042,47.3777,-122.165,2030,10450,11,fall,0,0
2014-07-16,470000,3,1.0,1010,5000,1.0,0,0,3,7,1010,0,1952,0.0,98107,47.675,-122.39399999999999,1680,5000,7,summer,0,0
2014-08-04,226500,3,1.5,1300,7370,1.0,0,0,4,7,900,400,1976,0.0,98023,47.3025,-122.37,1430,7500,8,summer,0,1
2015-03-03,274250,3,1.0,910,8450,1.0,0,0,4,6,910,0,1962,0.0,98059,47.4787,-122.15799999999999,1400,8040,3,spring,0,0
2014-09-19,677900,3,2.5,2440,4587,2.0,0,0,3,8,2440,0,2010,0.0,98052,47.7073,-122.11399999999999,2750,4587,9,fall,0,0
2014-11-23,180250,2,0.75,900,9600,1.0,0,0,3,6,900,0,1941,0.0,98166,47.4604,-122.339,1250,14280,11,fall,0,0
2014-07-17,464000,6,3.0,2300,3404,2.0,0,0,3,7,1600,700,1920,1994.0,98133,47.7067,-122.34299999999999,1560,1312,7,summer,1,1
2014-07-17,625504,3,2.25,1270,1566,2.0,0,0,3,8,1060,210,2014,0.0,98105,47.6647,-122.28399999999999,1160,1327,7,summer,0,1
2014-05-15,592500,4,2.5,2240,12032,1.0,0,0,3,9,2240,0,1983,0.0,98074,47.6143,-122.01700000000001,2520,12368,5,spring,0,0
2015-01-14,465000,3,2.5,2714,17936,2.0,0,0,3,9,2714,0,2005,0.0,98001,47.3185,-122.275,2590,18386,1,winter,0,0
2014-05-27,477000,4,2.75,1720,6270,2.0,0,0,3,8,1720,0,1978,0.0,98118,47.5458,-122.26799999999999,2130,8700,5,spring,0,0
2015-01-15,280000,2,1.0,850,16400,1.0,0,0,3,6,850,0,1923,0.0,98168,47.4889,-122.29899999999999,1100,14459,1,winter,0,0
2014-07-03,445838,3,2.5,2250,5692,2.0,0,0,3,8,2250,0,2000,0.0,98146,47.5133,-122.37899999999999,1320,5390,7,summer,0,0
2014-08-28,1070000,2,2.25,3900,14864,1.0,0,3,3,8,1950,1950,1947,0.0,98144,47.5884,-122.291,2580,5184,8,summer,0,1
2014-10-23,467000,2,1.5,1320,10800,1.0,0,0,4,8,1320,0,1947,0.0,98177,47.7145,-122.367,2120,12040,10,fall,0,0
2014-08-22,686000,4,2.5,2760,6440,2.0,0,0,3,10,2760,0,1999,0.0,98075,47.5836,-122.02600000000001,3070,8127,8,summer,0,0
2014-06-05,279950,3,2.0,1750,9750,1.0,0,0,3,7,1350,400,1961,0.0,98198,47.398,-122.29899999999999,1900,10125,6,summer,0,1
2014-09-04,527000,4,2.25,2330,19436,2.0,0,0,3,8,2330,0,1987,0.0,98011,47.7663,-122.215,1910,10055,9,fall,0,0
2014-09-18,325000,3,2.25,2220,16020,1.0,0,0,4,8,1780,440,1966,0.0,98030,47.3758,-122.21700000000001,2080,9583,9,fall,0,1
2014-09-03,328000,3,2.25,2020,8379,2.0,0,0,3,7,2020,0,1994,0.0,98038,47.3828,-122.023,2020,8031,9,fall,0,0
2015-01-15,235000,3,1.0,1430,15246,1.0,0,0,4,7,980,450,1961,0.0,98031,47.4075,-122.214,1960,13068,1,winter,0,1
2015-03-03,516500,3,2.5,1480,4729,2.0,0,0,3,7,1480,0,2004,0.0,98053,47.6794,-122.03399999999999,2250,4729,3,spring,0,0
2015-04-13,655000,2,1.75,1450,15798,2.0,1,4,3,7,1230,220,1915,1978.0,98166,47.4497,-122.375,2030,13193,4,spring,1,1
2014-06-16,500000,4,2.75,2280,15347,1.0,0,0,5,7,2280,0,1960,0.0,98059,47.5218,-122.164,2280,15347,6,summer,0,0
2014-11-21,315000,6,2.75,2940,7350,1.0,0,0,3,8,1780,1160,1978,0.0,98023,47.3103,-122.339,2120,8236,11,fall,0,1
2014-11-20,213000,2,1.0,1000,10200,1.0,0,0,3,6,1000,0,1961,0.0,98024,47.5687,-121.899,1150,13702,11,fall,0,0
2014-06-10,1030000,5,4.0,3760,28040,2.0,0,0,3,10,3760,0,1983,0.0,98033,47.6489,-122.18299999999999,3430,35096,6,summer,0,0
2015-04-09,416000,3,2.0,2220,94300,1.0,0,0,5,7,1640,580,1976,0.0,98010,47.3459,-121.95,2070,80100,4,spring,0,1
2015-03-20,410000,4,1.0,1970,4740,1.5,0,0,3,7,1670,300,1904,2005.0,98122,47.6136,-122.303,1510,4740,3,spring,1,1
2014-07-01,800000,3,3.5,3830,221284,2.0,0,0,3,10,3530,300,1993,0.0,98077,47.7641,-122.023,2920,148539,7,summer,0,1
2014-05-29,472000,6,2.5,4410,14034,1.0,0,2,4,9,2350,2060,1965,0.0,98003,47.3376,-122.324,2600,13988,5,spring,0,1
2014-12-08,225000,3,1.75,1430,8505,1.0,0,0,4,7,1430,0,1968,0.0,98003,47.3173,-122.319,1190,8640,12,winter,0,0
2014-10-01,210000,2,1.0,830,6000,1.0,0,0,3,6,830,0,1940,0.0,98126,47.5308,-122.376,830,4960,10,fall,0,0
